students
,stud.id,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
88,514389,Female,21,166,67.9,Muslim,2.26,5th,Environmental Sciences,Mathematics and Statistics,72,77,1,1,35191.6627647192
89,367719,Female,21,155,67.5,Other,2.03,3rd,Economics and Finance,Biology,71,74,1,0,NA
90,362637,Male,26,178,76.7,Other,2.45,3rd,Biology,Social Sciences,76,79,0,0,NA
91,409917,Female,23,162,61.8,Orthodox,1.21,2nd,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
92,977593,Female,21,181,79,Protestant,1.53,3rd,Economics and Finance,Biology,65,65,1,0,NA
93,884302,Female,20,168,69.4,Orthodox,2.45,1st,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
94,689045,Male,20,181,80,Other,2.83,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
95,706060,Female,20,158,60.6,Orthodox,1.46,4th,Social Sciences,Biology,43,52,1,0,NA
96,168184,Male,23,177,79.4,Muslim,2.02,4th,Mathematics and Statistics,Social Sciences,93,87,1,1,39342.5226689193
97,890431,Male,18,169,73.8,Catholic,1.41,5th,Mathematics and Statistics,Social Sciences,78,90,1,0,NA
98,345772,Male,19,176,76.4,Orthodox,2.56,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
99,167649,Female,21,166,64.3,Protestant,1.99,1st,Biology,Economics and Finance,NA,NA,0,0,NA
100,372924,Female,23,173,71.6,Protestant,1.41,3rd,Biology,Political Science,80,79,1,0,NA
101,925122,Female,22,168,72.8,Catholic,2.48,1st,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
102,525832,Female,21,155,61.7,Protestant,1.65,2nd,Biology,Political Science,NA,NA,0,0,NA
103,173174,Female,21,173,71.2,Other,2.65,6th,Social Sciences,Economics and Finance,49,41,0,1,28128.3742262358
104,336025,Male,21,177,73.3,Other,1.57,5th,Mathematics and Statistics,Biology,89,91,1,1,36204.3009619271
105,834732,Female,21,176,78.6,Other,2.71,4th,Environmental Sciences,Biology,68,76,1,0,NA
106,657755,Male,22,190,89.8,Catholic,2.9,>6th,Economics and Finance,Social Sciences,64,67,1,1,35881.2089413841
107,480514,Male,25,190,86.5,Muslim,2.51,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
108,903623,Male,20,174,72.1,Protestant,2.13,6th,Mathematics and Statistics,Political Science,95,91,1,0,NA
109,751288,Male,18,183,81.4,Catholic,1.84,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
110,869008,Female,24,162,62.4,Catholic,1.21,4th,Biology,Social Sciences,79,76,0,0,NA
111,644929,Male,22,173,77.4,Protestant,1.25,4th,Biology,Social Sciences,82,80,1,0,NA
112,638567,Male,20,192,89.4,Catholic,2.3,5th,Environmental Sciences,Social Sciences,75,79,1,0,NA
113,856894,Female,21,164,66.4,Other,2.05,5th,Political Science,Biology,58,63,1,1,39451.4669930382
114,730300,Male,20,192,92.6,Other,3.07,6th,Political Science,Social Sciences,47,54,1,1,20511.1509596087
115,842122,Female,18,155,62.6,Protestant,1.32,3rd,Political Science,Mathematics and Statistics,61,63,1,0,NA
116,484187,Female,18,176,74.3,Other,2.46,2nd,Political Science,Biology,NA,NA,0,0,NA
117,867020,Male,19,168,68.1,Other,2.04,2nd,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
118,582922,Female,19,175,76.8,Catholic,2.19,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
119,342378,Female,22,156,67.5,Catholic,1.91,4th,Environmental Sciences,Political Science,67,70,1,0,NA
120,872184,Female,22,163,67.1,Other,1.49,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
121,624517,Male,25,172,75.8,Catholic,2.53,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
122,575105,Female,23,166,63.3,Protestant,3.52,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
123,217305,Male,20,168,68.4,Catholic,1.14,1st,Biology,Economics and Finance,NA,NA,0,0,NA
124,266056,Male,22,170,72,Other,1.09,3rd,Economics and Finance,Biology,62,65,1,0,NA
125,587863,Female,19,155,62.9,Protestant,1.07,2nd,Political Science,Social Sciences,NA,NA,0,0,NA
126,811991,Male,21,174,75.4,Other,1.08,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
127,236422,Male,22,164,67.6,Other,2.67,1st,Economics and Finance,Social Sciences,NA,NA,0,0,NA
128,720268,Male,18,178,76.3,Catholic,1.42,1st,Biology,Economics and Finance,NA,NA,0,0,NA
129,401632,Female,20,168,68.6,Catholic,2.01,2nd,Social Sciences,Biology,NA,NA,0,0,NA
130,567656,Female,23,160,65.1,Catholic,1.18,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
131,303723,Male,21,187,89.4,Catholic,2.22,6th,Mathematics and Statistics,Environmental Sciences,90,91,1,1,58080.5001365533
132,502096,Female,19,153,58.4,Protestant,2.37,1st,Biology,Economics and Finance,NA,NA,0,0,NA
133,671921,Male,21,187,85.3,Other,1.35,2nd,Mathematics and Statistics,Biology,NA,NA,0,0,NA
134,369102,Female,21,173,70.2,Other,3.08,3rd,Political Science,Mathematics and Statistics,64,59,0,0,NA
135,298926,Female,20,156,68.6,Muslim,1.36,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
136,800743,Female,21,162,63.4,Protestant,1.83,2nd,Biology,Environmental Sciences,NA,NA,0,0,NA
137,306757,Female,24,166,68.3,Orthodox,1.24,1st,Biology,Economics and Finance,NA,NA,0,0,NA
138,408737,Female,22,165,69.3,Catholic,3.74,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
139,159105,Male,22,172,75.4,Catholic,1.84,6th,Environmental Sciences,Political Science,74,71,0,1,34190.6756548694
140,131435,Male,23,172,72.5,Other,2.33,4th,Political Science,Environmental Sciences,56,44,0,1,44027.9678772865
141,420250,Male,18,178,74.3,Protestant,3.3,>6th,Economics and Finance,Mathematics and Statistics,73,63,1,1,51564.0376212315
142,734612,Male,24,179,77.5,Catholic,2.76,5th,Biology,Economics and Finance,82,84,1,1,51222.9978587364
143,255675,Female,21,173,73.4,Catholic,2.04,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
144,845929,Female,23,166,68.5,Other,1.82,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
145,323852,Female,21,172,73.2,Catholic,1.54,2nd,Biology,Social Sciences,NA,NA,0,0,NA
146,356446,Male,25,172,73.9,Other,2.51,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
147,531965,Female,18,159,68.6,Catholic,1.95,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
148,977262,Male,24,179,71.8,Orthodox,1.38,3rd,Environmental Sciences,Biology,72,74,1,0,NA
149,931933,Male,19,164,65.4,Catholic,1.28,6th,Biology,Environmental Sciences,75,77,1,1,49476.0103536916
150,911287,Female,23,160,65.2,Catholic,2.28,4th,Political Science,Environmental Sciences,57,43,0,1,37809.7646948367
151,317936,Male,22,180,78.9,Other,1.51,1st,Biology,Economics and Finance,NA,NA,0,0,NA
152,967258,Female,22,158,59,Catholic,1.68,3rd,Biology,Mathematics and Statistics,75,68,0,0,NA
153,984457,Male,20,171,70.2,Other,2.69,6th,Biology,Economics and Finance,78,80,1,0,NA
154,575781,Female,23,162,67.4,Catholic,1.51,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
155,822891,Female,24,156,61.1,Protestant,2.3,3rd,Political Science,Mathematics and Statistics,51,55,1,0,NA
156,587981,Male,20,189,87.1,Other,2.19,6th,Mathematics and Statistics,Political Science,85,89,0,1,56996.0943801769
157,869698,Female,28,166,66.2,Other,1.69,2nd,Environmental Sciences,Biology,NA,NA,0,0,NA
158,112667,Male,21,172,72.7,Other,1.62,5th,Social Sciences,Environmental Sciences,44,47,0,0,NA
159,763933,Male,22,180,78.5,Other,3.91,>6th,Biology,Environmental Sciences,73,82,0,1,46242.932840787
160,175660,Male,21,184,84.3,Protestant,1.46,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
161,772838,Female,19,148,64.8,Orthodox,2.33,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
162,954935,Female,22,161,61.1,Other,3.2,3rd,Environmental Sciences,Political Science,72,72,0,0,NA
163,154015,Female,28,164,68.1,Orthodox,1.86,4th,Environmental Sciences,Social Sciences,75,69,0,0,NA
164,491556,Male,19,185,88.9,Other,3.45,2nd,Political Science,Social Sciences,NA,NA,0,0,NA
165,807518,Male,20,171,75.6,Muslim,1.8,6th,Political Science,Environmental Sciences,46,59,0,1,42064.6795554666
166,563504,Male,19,175,78.9,Catholic,1.24,6th,Economics and Finance,Political Science,62,75,0,0,NA
167,799976,Female,19,156,60.4,Other,1.95,6th,Environmental Sciences,Mathematics and Statistics,72,73,1,0,NA
168,846926,Female,21,162,68.6,Catholic,3.76,4th,Social Sciences,Mathematics and Statistics,47,43,0,0,NA
169,952145,Female,20,168,63.3,Catholic,1.05,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
170,956964,Female,37,160,68.1,Protestant,1.56,1st,Biology,Political Science,NA,NA,0,0,NA
171,406073,Male,20,171,73.1,Muslim,2.02,2nd,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
172,468956,Male,43,180,76.8,Other,2.84,3rd,Economics and Finance,Political Science,67,66,1,0,NA
173,363320,Female,22,172,71.9,Protestant,1.44,3rd,Political Science,Environmental Sciences,57,66,1,0,NA
174,599350,Female,57,156,61.6,Protestant,3.15,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
175,548177,Male,21,172,72,Catholic,3.67,5th,Mathematics and Statistics,Political Science,91,94,1,1,41618.8609732856
176,604302,Male,22,187,88.1,Other,2.4,5th,Environmental Sciences,Biology,71,69,1,1,39037.8924286415
177,233689,Male,21,177,76.1,Protestant,1.04,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
178,564694,Female,22,163,69.7,Muslim,1.19,4th,Social Sciences,Environmental Sciences,49,51,1,1,23717.356495955
179,356008,Male,18,190,91.4,Catholic,1.64,5th,Environmental Sciences,Political Science,79,83,1,1,43332.8374443776
180,746195,Male,20,177,73.9,Other,1.73,1st,Environmental Sciences,Biology,NA,NA,0,0,NA
181,648504,Female,19,164,65.2,Catholic,3.57,3rd,Political Science,Mathematics and Statistics,55,62,1,0,NA
182,299293,Female,25,155,60.6,Muslim,1.74,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
183,609448,Female,21,150,62.3,Other,2.7,2nd,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
184,788002,Female,19,152,61.1,Other,3.1,2nd,Biology,Political Science,NA,NA,0,0,NA
185,353537,Female,22,176,74.9,Other,1.03,1st,Biology,Political Science,NA,NA,0,0,NA
186,595769,Female,19,164,71.4,Protestant,2.23,4th,Biology,Economics and Finance,78,77,0,1,39587.6141945428
187,476989,Female,22,155,66.5,Other,1.32,4th,Social Sciences,Mathematics and Statistics,39,42,0,0,NA
188,342344,Female,19,181,82.1,Catholic,1.64,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
189,343028,Female,19,156,66.9,Other,2.83,2nd,Environmental Sciences,Biology,NA,NA,0,0,NA
190,777815,Male,22,168,66.3,Other,3.54,>6th,Biology,Environmental Sciences,80,72,0,1,64486.4064413335
191,308216,Male,21,192,94.1,Catholic,2.28,2nd,Environmental Sciences,Biology,NA,NA,0,0,NA
192,896911,Male,19,184,81.4,Orthodox,1.49,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
193,677610,Male,22,188,85.7,Protestant,1.47,4th,Environmental Sciences,Economics and Finance,65,71,1,0,NA
194,277382,Male,19,178,75.7,Protestant,2.97,3rd,Mathematics and Statistics,Biology,86,86,0,0,NA
195,970655,Female,21,152,59.4,Catholic,2.97,2nd,Economics and Finance,Biology,NA,NA,0,0,NA
196,361780,Female,24,156,66.7,Catholic,3.39,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
197,701607,Female,22,172,69.4,Protestant,2.98,1st,Social Sciences,Political Science,NA,NA,0,0,NA
198,650214,Female,24,161,67.1,Other,1.4,4th,Mathematics and Statistics,Social Sciences,89,85,0,0,NA
199,613490,Male,19,177,72.8,Protestant,1.23,3rd,Mathematics and Statistics,Social Sciences,79,92,0,0,NA
200,176939,Male,22,180,78,Other,2.4,3rd,Political Science,Mathematics and Statistics,46,58,1,0,NA
201,409506,Male,21,164,66,Protestant,1.79,2nd,Mathematics and Statistics,Economics and Finance,NA,NA,0,0,NA
202,830130,Male,20,169,65.3,Other,3.58,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
203,941953,Female,19,158,62.3,Catholic,3.45,1st,Social Sciences,Economics and Finance,NA,NA,0,0,NA
204,978652,Female,20,146,59.7,Protestant,3.28,5th,Environmental Sciences,Political Science,70,67,0,0,NA
205,414240,Male,22,173,70.1,Catholic,2.93,4th,Economics and Finance,Mathematics and Statistics,71,79,1,0,NA
206,808435,Male,19,166,65.7,Protestant,1.12,2nd,Biology,Social Sciences,NA,NA,0,0,NA
207,625895,Female,21,165,62.2,Catholic,2.66,5th,Environmental Sciences,Mathematics and Statistics,72,77,1,0,NA
208,390559,Female,19,167,71,Other,2.78,4th,Biology,Economics and Finance,78,83,1,1,45504.1917499479
209,612668,Female,20,143,58.7,Other,3.97,4th,Political Science,Mathematics and Statistics,55,64,0,1,30611.5071762278
210,723778,Male,19,182,80.2,Catholic,2.57,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
211,364492,Female,22,161,65.7,Other,2.34,4th,Political Science,Biology,57,53,0,0,NA
212,586733,Female,19,174,74.2,Catholic,3.55,1st,Social Sciences,Biology,NA,NA,0,0,NA
213,936532,Male,21,189,89.7,Protestant,2.63,3rd,Biology,Social Sciences,78,85,1,0,NA
214,792941,Female,23,161,68.9,Orthodox,1.21,4th,Political Science,Economics and Finance,57,54,0,0,NA
215,861534,Male,22,176,73.9,Catholic,1.24,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
216,728141,Female,21,152,63.6,Protestant,1.83,5th,Biology,Social Sciences,72,86,1,1,39368.9036415416
217,183489,Male,24,175,71,Other,1.34,2nd,Biology,Social Sciences,NA,NA,0,0,NA
218,369866,Male,20,165,69.3,Protestant,1.87,1st,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
219,168476,Male,22,174,74.9,Catholic,1.76,6th,Economics and Finance,Political Science,65,65,0,1,43379.7783068337
220,724925,Female,21,162,65.3,Other,3.33,1st,Mathematics and Statistics,Biology,NA,NA,0,0,NA
221,350299,Male,24,160,63,Protestant,4,1st,Social Sciences,Political Science,NA,NA,0,0,NA
222,443848,Male,25,170,71.5,Other,1.5,4th,Biology,Environmental Sciences,81,80,1,0,NA
223,601421,Male,24,197,99.9,Catholic,2.72,4th,Environmental Sciences,Biology,64,70,1,1,40460.5204289929
224,949850,Female,50,149,62.5,Catholic,2.29,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
225,234831,Female,20,165,69.7,Other,2.57,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
226,531417,Female,21,159,58.9,Catholic,1.62,2nd,Social Sciences,Political Science,NA,NA,0,0,NA
227,272563,Male,21,178,78.2,Other,2.7,3rd,Mathematics and Statistics,Environmental Sciences,84,89,0,0,NA
228,207911,Male,19,180,81.7,Catholic,2.04,5th,Economics and Finance,Mathematics and Statistics,64,65,0,0,NA
229,261845,Male,20,169,71.8,Catholic,1.62,3rd,Political Science,Economics and Finance,58,59,0,0,NA
230,182135,Male,19,169,72.5,Catholic,1.57,6th,Mathematics and Statistics,Political Science,84,86,0,0,NA
231,560677,Male,25,172,68,Orthodox,1.83,1st,Biology,Mathematics and Statistics,NA,NA,0,0,NA
232,802354,Female,24,170,72.3,Catholic,3.31,4th,Political Science,Social Sciences,57,55,1,0,NA
233,752528,Male,21,179,80.2,Other,3.76,5th,Environmental Sciences,Economics and Finance,75,73,1,1,42062.5459289203
234,192380,Male,43,173,76.1,Other,2.22,5th,Mathematics and Statistics,Environmental Sciences,90,92,1,1,41373.0141466435
235,637160,Female,48,159,69.9,Catholic,1.07,4th,Mathematics and Statistics,Environmental Sciences,86,87,0,0,NA
236,432921,Female,21,169,69.2,Catholic,1.16,1st,Social Sciences,Biology,NA,NA,0,0,NA
237,832270,Male,21,183,77,Catholic,1.06,6th,Mathematics and Statistics,Environmental Sciences,83,90,1,1,65013.0088048857
238,550938,Male,21,182,83,Protestant,1.1,3rd,Environmental Sciences,Economics and Finance,82,68,0,0,NA
239,266112,Male,23,170,70.8,Orthodox,1.62,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
240,730304,Female,21,151,61.8,Protestant,1.45,4th,Political Science,Economics and Finance,57,69,0,0,NA
241,770459,Male,22,184,78.8,Other,2.36,4th,Environmental Sciences,Economics and Finance,64,73,1,1,37668.8902646125
242,194438,Male,20,183,83.6,Protestant,3.97,5th,Social Sciences,Mathematics and Statistics,49,51,1,1,35881.7361997223
243,853592,Female,23,166,65.4,Catholic,1.4,3rd,Social Sciences,Mathematics and Statistics,41,51,1,0,NA
244,775350,Female,21,168,68.1,Other,2.42,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
245,190305,Female,20,164,64.6,Other,2.87,2nd,Political Science,Social Sciences,NA,NA,0,0,NA
246,398228,Female,21,168,69.6,Other,1.64,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
247,695605,Female,24,170,67.4,Protestant,2.7,1st,Biology,Social Sciences,NA,NA,0,0,NA
248,891369,Female,23,157,62.3,Protestant,2.07,2nd,Social Sciences,Economics and Finance,NA,NA,0,0,NA
249,291240,Male,21,165,69.9,Protestant,1.28,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
250,597357,Female,22,165,68.4,Other,1.04,4th,Biology,Mathematics and Statistics,75,87,1,1,35816.2402132234
251,129428,Male,20,173,70.3,Muslim,2.46,3rd,Political Science,Economics and Finance,54,56,0,0,NA
